Name,TimeSec,Lane,DurationSec,Velocity,Pitch
Note_00107,53.578125,2,0.129167,37,61
Note_00108,53.881250,1,0.162500,56,43
Note_00109,54.194792,1,0.209375,56,43
Note_00110,54.207292,2,0.151042,33,62
Note_00111,54.625000,1,0.162500,41,43
Note_00112,54.636458,1,0.266667,50,48
Note_00113,54.845833,1,0.151042,56,60
Note_00114,54.950000,1,0.162500,51,43
Note_00115,55.089583,1,0.302083,52,57
Note_00116,55.263542,1,0.151042,55,43
Note_00117,55.263542,2,0.162500,43,65
Note_00118,55.275000,2,0.162500,55,61
Note_00119,55.565625,1,0.175000,58,43
Note_00120,55.577083,1,0.163542,46,48
Note_00121,55.891667,1,0.185417,57,43
Note_00122,55.891667,1,0.209375,43,48
Note_00123,56.320833,1,0.220833,46,48
Note_00124,56.320833,1,0.139583,50,58
Note_00125,56.634375,1,0.173958,52,43
Note_00126,56.634375,2,0.151042,41,61
Note_00127,56.796875,1,0.185417,42,58
Note_00128,56.959375,1,0.162500,56,43
Note_00129,57.261458,1,0.209375,43,43
Note_00130,57.378125,2,0.173958,56,62
Note_00131,57.597917,1,0.175000,63,57
Note_00132,58.864583,0,0.162500,35,39
Note_00133,60.863542,0,0.162500,45,41
Note_00134,62.861458,0,0.151042,41,39
Note_00135,64.545833,0,0.139583,48,33
Note_00136,67.706250,0,0.185417,43,41
Note_00137,67.927083,0,0.139583,33,41
Note_00138,71.318750,0,0.139583,51,33
Note_00139,72.387500,0,0.162500,33,39
Note_00140,74.479167,0,0.151042,39,41
Note_00141,78.068750,0,0.139583,53,33
Note_00142,79.148958,0,0.151042,35,39
Note_00143,80.821875,0,0.162500,36,41
Note_00144,81.239583,0,0.185417,43,41
Note_00145,81.448958,0,0.129167,34,41
Note_00146,82.530208,0,0.139583,44,39
Note_00147,83.133333,0,0.173958,43,39
Note_00148,84.830208,0,0.139583,50,33
Note_00149,85.898958,0,0.173958,35,39
Note_00150,88.002083,1,0.173958,55,46
Note_00151,88.187500,0,0.162500,34,41
Note_00152,89.478125,1,0.209375,45,58
Note_00153,89.803125,1,0.173958,44,46
Note_00154,89.803125,2,0.196875,42,61
